10,88
10,89
11,36
11,2
11,72
11,74
11,63
12,35
12,76
12,88
12,42
12,65
12,41
12,32
12,28
11,9
12,2
12,39
12,42
12,4
12,36
12,45
12,27
11,79
12,19
12,1
12,1
12,05
12,48
12,72
13,08
13,55
13,17
13,47
13,25
13,74
13,83
13,58
13,54
13,99
13,69
13,75
13,38
13,75
13,37
13,31
13,44
13,45
13,11
12,76
12,95
12,61
13,26
13,27
12,88
12,89
13,05
12,77
12,62
13,15
13,04
13,16
13,0
13,67
13,56
13,53
13,68
13,51
13,9
13,81
13,8
14,19
14,62
14,44
14,62
14,4
14,22
14,23
14,6
14,21
14,07
13,7
13,91
14,18
13,98
13,96
14,89
15,06
15,06
14,7
14,85
15,14
14,76
14,7
14,34
14,1
13,75
13,56
13,0
12,21
11,9
11,45
11,94
12,0
11,71
11,55
11,1
10,73
10,64
10,58
10,75
10,7
10,85
11,02
10,95
11,55
10,99
11,07
10,85
10,53
10,35
10,56
10,72
10,91
11,29
11,37
11,83
11,97
11,85
11,57
12,23
12,12
12,22
12,61
12,44
12,09
12,39
12,33
12,67
12,67
12,23
12,73
12,85
12,44
12,56
12,79
12,87
12,62
12,39
12,79
12,41
11,95
11,96
12,05
11,93
11,9
11,97
12,2
12,18
12,27
12,21
12,5
12,7
12,75
12,9
12,7
12,72
12,74
12,4
12,34
12,51
12,42
12,09
12,16
12,03
12,2
12,35
13,0
12,8
12,97
